MJ03,MJ06,MJ05,JAAC001,JAAC002,JAAC003,JAAC004,JAAC005,JAAC007,JAAC008,JAAC009,JAAC010,JAAC011,JAAC012,JAAC013,JAAC014,JAAC020,JAAC021,JAAC022,JAAC023,JAAC024,JAAC025,JAAC026,JAAC027,MJ07
40100292,2,1,1,47,2,1,1, , , , , ,4,4, ,7,1,199102,1,6,3,6,7,1
40100293,1,1,1,75,1,1,1, , , , , ,3,3,2,7,3,      ,0,5,3,6,1,1
40100296,1,1,1,21,1,1,1, , , , , ,3,3,2,7,3,      ,0,5,3,6,2,1
40100297,1,1,1,73,2,1,1, , , , , ,3,3,2,1,1,198001,1,5,3,6,7,1
40100301,1,1,1,70,1,1,1, , , , , ,4,4, ,1,1,197505,1,5,3,6,7,1
40100301,2,2,2,64,2,1,22, , , , , ,3,3,2,1,3,      ,0,6,3,6,7,
40100306,1,1,1,75,1,1,1, , , , , ,3,3,2,7,3,      ,0,2,3,6,6,1
40100309,1,1,1,32,2,1,1, , , , , ,4,4, ,1,1,200405,1,5,3,6,7,1
40100309,2,2,2,38,2,1,1, , , , , ,3,3,2,7,3,      ,0,5,3,6,2,
40100316,1,1,1,41,1,1,1, , , , , ,4,4, ,1,1,199810,1,5,3,6,7,1
40100316,1,2,2,83,2,1,3, , , , , ,1,1,2,7,3,      ,0,5,3,2,7,
40100317,1,1,1,57,1,1,1, , , , , ,3,3,2,7,3,      ,0,4,3,6,1,1
40200074,1,1,1,73,1,1,1, , , , , ,4,4, ,7,1,196408,1,5,3,6,7,1
40200074,2,2,2,49,2,1,1, , , , , ,2,2,2,3,1,198609,1,5,3,6,7,
40200075,1,1,1,          , ,  ,1, , , , , ,4,4, ,1,1,      ,0,6,3,6,7,1
40200075,2,2,2,49,1,1,1, , , , , ,2,2,2,7,3,      ,0,5,3,6,2,
40200077,1,2,2,29,2,1,21, , , , , ,3,3,2,1,3,      ,0,6,3,6,7,
40200077,2,1,1,33,2,1,1, , , , , ,3,3,2,1,1,201603,1,5,3,6,7,1
40200078,1,1,1,60,1,1,1, , , , , ,3,3,2,7,3,      ,0,4,3,6,1,1
40200079,1,1,1,19,1,1,1, , , , , ,3,3,2,1,1,201501,1,5,3,6,7,1
40200081,1,1,1,60,2,1,1, , , , , ,4,4, ,1,1,198311,1,5,3,6,7,1
40200081,2,2,2,67,2,1,1, , , , , ,2,2,2,7,3,      ,0,5,3,6,1,
40200083,1,1,1,44,1,1,1, , , , , ,2,2,2,1,1,200412,1,5,3,6,7,1
40200086,1,1,1,52,1,1,1, , , , , ,3,3,2,1,1,198906,1,5,3,6,7,1
40200086,1,2,2,52,2,1,21, , , , , ,3,3,2,1,3,      ,0,5,3,6,7,
40300118,1,1,1,24,2,1,1, , , , , ,3,3,2,7,3,      ,0,5,3,6,1,1
40300123,1,1,1,40,2,1,1, , , , , ,3,3,2,1,1,200306,1,5,2,6,7,1
40300123,2,2,2,78,1,1,1, , , , , ,3,3,2,1,1,196508,1,5,2,6,7,
40300126,1,1,1,84,2,1,1, , , , , ,3,3,2,7,3,      ,0,5,3,6,1,1
40300127,1,1,1,15,1,1,1, , , , , ,3,3,2,7,3,      ,0,5,3,6,1,1
40300130,1,1,1,45,1,1,1, , , , , ,4,4, ,1,1,200901,1,5,2,6,7,1
40300130,2,2,2,32,1,22,1, , , , , ,3,3,2,1,1,200503,1,5,2,6,7,
40300130,2,3,2,26,1,22,21, , , , , ,3,3,2,1,3,      ,0,6,3,6,7,
40300132,1,1,1,30,1,1,1, , , , , ,3,3,2,1,2,      ,0,5,3,6,7,1
40300132,2,2,2,49,2,1,22, , , , , ,3,3,2,7,3,      ,0,6,3,6,7,
40400059,2,1,1,77,1,1,1, , , , , ,2,2,2,7,3,      ,0,1,3,6,6,1
40400060,1,1,1,69,1,1,1, , , , , ,2,2,2,7,3,      ,0,4,3,6,1,1
40400061,1,1,1,          , ,  ,  , , , , , , , , , , ,      ,0, , , , ,1
40400061,1,2,2,70,1,1,1, , , , , ,2,2,2,3,1,197708,1,5,3,6,7,
40400062,1,1,1,22,1,1,1, , , , , ,2,2,2,2,1,201605,1,6,3,6,7,1
40500106,1,1,1,28,2,1,1, , , , , ,3,3,2,7,3,      ,0,5,3,6,1,1
40500107,1,1,1,95,1,1,1, , , , , ,4,4, ,1,1,194205,1,5,3,6,7,1
40500107,1,2,2,45,2,1,3, , , , , ,3,3,2,7,3,      ,0,6,3,2,7,
40500108,1,1,1,67,2,1,1, , , , , ,4,4, ,1,1,197610,1,5,3,6,7,1
40500108,2,2,2,35,1,1,1, , , , , ,2,2,2,3,1,200101,1,5,3,6,7,
40500117,1,1,1,52,1,1,1, , , , , ,4,4, ,7,1,198908,1,5,3,6,7,1
40500117,2,2,2,63,1,1,1, , , , , ,3,3,2,7,3,      ,0,5,3,6,1,
40500121,1,1,1,          , ,  ,  , , , , , , , , , , ,      ,0, , , , ,1
40500121,1,2,2,27,1,1,1, , , , , ,2,2,2,3,1,200907,1,5,3,6,7,
40600021,1,2,2,25,2,1,1, , , , , ,3,3,2,7,3,      ,0,6,3,6,2,
40600021,2,1,1,51,1,1,1, , , , , ,4,4, ,7,3,      ,0,6,3,6,2,1
40600023,1,1,1,43,2,1,1, , , , , ,4,4, ,1,1,199407,1,5,3,6,7,1
40600023,2,2,2,60,2,1,1, , , , , ,3,3,2,7,3,      ,0,5,3,6,1,
40700090,1,1,1,53,1,1,1, , , , , ,1,1,1,2,1,198401,1,3,3,6,7,1
40700094,1,1,1,34,1,1,1, , , , , ,3,3,2,7,3,      ,0,4,3,6,1,1
40700094,2,2,2,63,2,1,1, , , , , ,3,3,2,7,3,      ,0,5,3,6,2,
40700096,1,1,1,44,2,1,1, , , , , ,3,3,2,1,1,199502,1,5,3,6,7,1
40700102,1,1,1,43,1,1,1, , , , , ,2,2,2,1,1,199202,1,5,2,6,7,1
40700103,1,1,1,17,1,1,1, , , , , ,3,3,2,7,3,      ,0,3,3,6,2,1
40700104,1,1,1,29,1,1,1, , , , , ,4,4, ,1,1,201506,1,5,3,6,7,1
40700104,2,2,2,3,1,1,22, , , , , ,3,3,2,5,3,      ,0,6,3,6,7,
40700105,1,1,1,          , ,  ,  , , , , , , , , , , ,      ,0, , , , ,1
40700105,1,2,2,27,2,1,1, , , , , ,3,3,2,1,1,201302,1,5,3,6,7,
40700107,1,1,1,38,1,1,1, , , , , ,3,3,2,7,3,      ,0,4,3,6,1,1
40700112,1,1,1,42,1,1,1, , , , , ,3,3,2,2,1,199404,1,5,3,6,7,1
40700116,1,1,1,28,1,1,1, , , , , ,3,3,2,1,1,201208,1,5,3,6,7,1
40700116,2,2,2,47,2,1,1, , , , , ,3,3,2,1,1,199108,1,5,3,6,7,
40700118,1,1,1,22,1,1,1, , , , , ,4,4, ,7,3,      ,0,6,3,6,2,1
40700118,1,2,2,48,2,1,3, , , , , ,3,3,2,7,3,      ,0,6,3,5,7,
40800062,1,1,1,16,1,1,1, , , , , ,3,3,2,3,1,201611,1,5,3,6,7,1
40800063,1,1,1,25,2,1,1, , , , , ,4,4, ,1,1,201303,1,5,3,6,7,1
