MJ03,MJ06,MJ05,JAAC001,JAAC002,JAAC003,JAAC004,JAAC005,JAAC007,JAAC008,JAAC009,JAAC010,JAAC011,JAAC012,JAAC013,JAAC014,JAAC020,JAAC021,JAAC022,JAAC023,JAAC024,JAAC025,JAAC026,JAAC027,MJ07
10000008,1,1,1,61,2,1,3, , , , , ,3,2,2,7,3,      ,0,6,3,3,7,1
10000013,1,1,1,78,1,1,1, , , , , ,3,3,2,1,1,196908,1,5,2,6,7,1
10000013,1,2,2,76,2,1,21, , , , , ,2,2,2,1,3,      ,0,6,3,6,7,
10000015,1,1,1,62,1,1,1, , , , , ,3,3,2,1,1,197912,1,5,2,6,7,1
10000019,1,1,1,33,1,1,1, , , , , ,4,4, ,1,1,201012,1,5,2,6,7,1
10000019,1,2,2,26,2,1,3, , , , , ,2,2,2,7,3,      ,0,6,3,2,1,
10000020,1,1,1,54,1,1,1, , , , , ,4,4, ,1,1,200903,1,5,2,6,7,1
10000020,1,2,2,31,2,1,3, , , , , ,2,2,2,7,3,      ,0,6,3,3,7,
10000025,1,1,1,46,2,1,1, , , , , ,4,4, ,1,1,200705,1,5,2,6,7,1
10000025,1,2,2,64,1,1,3, , , , , ,3,3,2,7,3,      ,0,6,3,3,7,
10000028,1,1,1,28,1,1,1, , , , , ,4,4, ,1,1,201202,1,5,3,6,7,1
10000028,1,2,2,18,1,1,21, , , , , ,3,3,1,1,3,      ,0,6,3,6,7,
10000040,1,1,1,47,1,1,1, , , , , ,4,4, ,1,1,200703,1,3,3,6,7,1
10000040,1,2,2,25,1,1,3, , , , , ,3,3,1,7,3,      ,0,6,3,5,7,
10000047,1,1,1,41,1,1,1, , , , , ,4,4, ,1,1,199709,1,5,2,6,7,1
10000047,1,2,2,59,2,1,3, , , , , ,2,2,2,7,3,      ,0,6,3,2,7,
10000058,1,1,1,65,1,1,1, , , , , ,4,4, ,1,1,198305,1,5,3,6,7,1
10000058,2,2,2,41,2,1,1, , , , , ,3,3,1,1,1,199603,1,5,3,6,7,
10000068,1,1,1,18,2,1,3, , , , , ,3,3,2,7,3,      ,0,6,3,3,7,1
10000074,1,1,1,40,2,1,1, , , , , ,4,4, ,1,1,201302,1,5,2,6,7,1
10000074,1,2,2,23,2,1,21, , , , , ,3,3,2,1,3,      ,0,5,2,6,7,
10000082,1,1,1,50,1,1,1, , , , , ,4,4, ,1,1,198510,1,5,2,6,7,1
10000082,2,2,2,50,1,1,1, , , , , ,4,4, ,1,1,198808,1,5,2,6,7,
10000082,2,3,2,63,2,1,22, , , , , ,3,3,2,7,3,      ,0,6,3,6,7,
10000101,1,1,1,24,1,1,1, , , , , ,3,3,2,1,1,201408,1,5,3,6,7,1
10000104,1,1,1,19,1,1,1, , , , , ,3,3,2,1,1,201603,1,5,3,6,7,1
10000117,1,1,1,23,1,1,1, , , , , ,4,4, ,1,1,201603,1,5,2,6,7,1
10000117,1,2,2,15,1,1,22, , , , , ,3,3,2,1,3,      ,0,5,2,6,7,
10000117,2,3,2,44,2,1,21, , , , , ,3,3,2,1,3,      ,0,5,2,6,7,
10000117,2,4,2,12,2,1,22, , , , , ,3,3,2,1,3,      ,0,5,2,6,7,
10000118,1,1,1,29,1,1,1, , , , , ,3,3,2,3,1,200711,1,5,2,6,7,1
10000147,1,1,1,81,2,1,3, , , , , ,3,3,2,7,3,      ,0,6,3,3,7,1
10000152,1,1,1,65,1,1,1, , , , , ,4,4, ,1,1,197301,1,2,3,6,7,1
10000152,1,2,2,40,2,1,3, , , , , ,3,3,2,7,3,      ,0,6,3,4,7,
10000154,1,1,1,20,1,1,1, , , , , ,3,3,1,2,1,201409,1,5,2,6,7,1
10000170,1,1,1,85,2,1,3, , , , , ,3,3,2,7,3,      ,0,6,3,1,7,1
10000170,1,2,2,31,1,1,1, , , , , ,4,4, ,1,1,200507,1,5,3,6,7,
10000183,1,1,1,43,2,1,1, , , , , ,4,4, ,1,1,201207,1,5,2,6,7,1
10000183,1,2,2,57,1,1,3, , , , , ,3,2,2,7,3,      ,0,6,3,2,7,
10000202,1,1,1,46,2,1,3, , , , , ,2,2,2,7,3,      ,0,6,3,1,7,1
10000202,1,2,2,38,2,1,1, , , , , ,4,4, ,1,1,199903,1,5,3,6,7,
10000217,1,1,1,47,1,1,1, , , , , ,4,4, ,1,1,201608,1,5,2,6,7,1
10000217,1,2,2,12,2,1,3, , , , , ,3,3,2,7,3,      ,0,6,3,2,7,
10000221,1,1,1,42,1,1,1, , , , , ,3,3,2,1,1,199401,1,5,2,6,7,1
10000221,2,2,2,59,2,1,1, , , , , ,3,2,2,1,1,198308,1,5,2,6,7,
10000234,1,1,1,26,1,1,1, , , , , ,1,1,1,1,1,201608,1,6,3,6,7,1
10300021,1,1,1,72,2,1,1, , , , , ,3,3,1,1,1,198606,1,5,3,6,7,1
10300021,2,2,2,20,1,1,1, , , , , ,3,3,1,1,1,201409,1,5,3,6,7,
10300033,1,1,1,43,1,1,1, , , , , ,4,4, ,1,1,199112,1,5,2,6,7,1
10300033,1,2,2,41,2,1,3, , , , , ,3,3,2,7,3,      ,0,6,3,2,7,
10400004,1,1,1,46,1,1,1, , , , , ,4,4, ,1,1,198807,1,5,2,6,7,1
10400004,1,2,2,48,2,1,3, , , , , ,3,3,2,7,3,      ,0,6,3,6,7,
10600061,1,1,1,52,1,1,1, , , , , ,4,4, ,1,1,198503,1,5,3,6,7,1
10600061,2,2,2,44,1,1,1, , , , , ,4,4, ,1,1,199303,1,5,3,6,7,
10600061,3,3,2,31,1,1,1, , , , , ,4,4, ,1,1,200411,1,5,3,6,7,
10600061,3,4,2,55,2,1,3, , , , , ,3,3,1,7,3,      ,0,6,3,6,7,
10600062,1,1,1,39,2,1,3, , , , , ,2,2,2,7,3,      ,0,6,3,6,7,1
10600062,1,2,2,37,1,1,1, , , , , ,4,4, ,1,2,      ,0,5,2,6,7,
10800030,1,1,1,25,1,1,1, , , , , ,4,4, ,1,1,201009,1,5,3,6,7,1
10800030,2,2,2,78,2,1,1, , , , , ,3,3,2,1,1,196005,1,5,3,6,7,
10800032,1,1,1,24,2,1,1, , , , , ,4,4, ,1,1,201608,1,5,2,6,7,1
10800032,2,2,2,23,1,1,1, , , , , ,3,3,2,3,2,      ,0,5,2,6,7,
10900009,1,1,1,42,1,1,1, , , , , ,4,4, ,1,1,199510,1,5,3,6,7,1
10900009,1,3,2,41,2,1,21, , , , , ,2,2,2,2,3,      ,0,6,3,6,7,
10900009,2,2,2,53,1,1,1, , , , , ,4,4, ,1,1,198705,1,5,3,6,7,
11000022,1,1,1,67,1,1,1, , , , , ,4,4, ,1,1,197509,1,5,3,6,7,1
11000022,2,2,2,73,2,1,3, , , , , ,2,2,2,7,3,      ,0,6,3,5,7,
11000022,3,3,2,31,2,1,3, , , , , ,3,3,2,7,3,      ,0,6,3,5,7,
11000025,1,1,1,22,2,1,3, , , , , ,3,3,2,7,3,      ,0,6,3,3,7,1
11000025,1,2,2,33,1,1,1, , , , , ,4,4, ,1,1,201406,1,5,3,6,7,
11100026,1,1,1,44,1,1,1, , , , , ,4,4, ,1,1,200302,1,5,2,6,7,1
11100026,2,2,2,49,1,1,1, , , , , ,3,3,1,1,1,200412,1,5,2,6,7,
11100030,1,1,1,25,1,1,1, , , , , ,4,4, ,1,1,201007,1,5,2,6,7,1
11100030,2,2,2,3,1,1,22, , , , , ,3,3,2,5,3,      ,0,6,3,6,7,
11300007,1,1,1,74,2,1,3, , , , , ,3,3,2,7,3,      ,0,6,3,3,7,1
11300007,1,2,2,50,2,1,1, , , , , ,4,4, ,1,1,198606,1,5,2,6,7,
11300019,1,1,1,51,2,1,1, , , , , ,3,3,1,1,1,199010,1,5,2,6,7,1
11300019,1,3,2,30,1,1,21, , , , , ,3,3,1,1,3,      ,0,6,3,6,7,
11300019,2,2,2,31,2,1,1, , , , , ,3,3,1,1,1,201307,1,5,2,6,7,
11300041,1,1,1,64,2,1,3, , , , , ,2,2,2,7,3,      ,0,6,3,3,7,1
11300041,1,2,2,35,1,1,1, , , , , ,4,4, ,1,1,200502,1,5,3,6,7,
11400012,1,1,1,50,2,1,1, , , , , ,4,4, ,1,1,200912,1,5,3,6,7,1
11400012,1,3,2,33,2,1,22, , , , , ,3,3,2,7,3,      ,0,6,3,6,7,
11400012,2,2,2,54,1,1,1, , , , , ,4,4, ,1,1,198908,1,5,3,6,7,
11400053,1,1,1,53,2,1,1, , , , , ,4,4, ,1,1,199303,1,5,2,6,7,1
11400053,1,2,2,59,2,1,3, , , , , ,3,3,2,7,3,      ,0,6,3,2,7,
11600002,1,1,1,43,2,1,1, , , , , ,3,3,2,1,1,199505,1,6,2,6,7,1
11600007,1,1,1,53,2,1,1, , , , , ,4,4, ,1,1,198709,1,5,3,6,7,1
11600007,2,2,2,33,1,1,1, , , , , ,4,4, ,1,1,201612,1,5,3,6,7,
11600007,2,4,2,37,2,1,22, , , , , ,3,3,2,1,3,      ,0,6,3,6,7,
11600007,3,3,2,41,1,1,1, , , , , ,4,4, ,1,1,199508,1,5,3,6,7,
11800007,1,1,1,48,1,1,1, , , , , ,3,2,2,7,1,199106,1,5,3,6,7,1
11800007,2,2,2,56,1,1,1, , , , , ,4,4, ,1,1,198010,1,5,3,6,7,
12000007,1,1,1,56,1,1,1, , , , , ,4,4, ,1,1,199203,1,5,2,6,7,1
12000007,1,3,2,52,1,1,21, , , , , ,3,3,2,1,3,      ,0,6,3,6,7,
12000007,2,2,2,47,1,1,1, , , , , ,4,4, ,1,1,198905,1,5,2,6,7,
12000015,1,1,1,55,1,1,1, , , , , ,3,3,2,2,1,198211,1,5,2,6,7,1
12000018,1,1,1,27,2,1,1, , , , , ,4,4, ,1,1,201608,1,5,3,6,7,1
12000018,2,2,2,59,2,1,1, , , , , ,3,3,2,1,1,198811,1,5,3,6,7,
12200019,1,1,1,26,1,1,1, , , , , ,3,3,2,1,1,200810,1,5,3,6,7,1
12200019,1,2,2,33,1,1,21, , , , , ,3,3,2,1,3,      ,0,6,3,6,7,
12200020,1,1,1,34,2,1,1, , , , , ,3,3,1,1,1,200612,1,5,3,6,7,1
13000001,1,1,1,41,2,1,1, , , , , ,3,3,2,1,1,199507,1,5,3,6,7,1
13000001,1,3,2,44,1,1,21, , , , , ,3,3,2,1,3,      ,0,6,3,6,7,
13000001,2,2,2,67,2,1,1, , , , , ,2,2,2,2,1,198402,1,5,3,6,7,
13000002,1,1,1,          , ,  ,1, , , , , ,4,4, ,7,3,      ,0,6,3,6,7,1
13000002,1,2,2,42,1,1,3, , , , , ,3,3,2,7,3,      ,0,6,3,5,7,
13000003,1,1,1,68,1,1,1, , , , , ,2,2,2,1,1,196903,1,6,2,6,7,1
13000003,2,2,2,26,1,1,1, , , , , ,3,3,1,7,1,201401,1,5,2,6,7,
13000003,2,3,2,26,2,1,22, , , , , ,3,3,2,7,3,      ,0,6,3,6,7,
13000003,2,4,2,26,2,1,22, , , , , ,3,3,1,7,3,      ,0,6,3,6,7,
13000004,1,1,1,18,1,1,1, , , , , ,3,3,2,3,1,201605,1,5,3,6,7,1
13000004,1,3,2,18,2,1,22, , , , , ,3,3,2,3,3,      ,0,6,3,6,7,
13000004,2,2,2,38,1,1,1, , , , , ,4,4, ,1,1,199707,1,5,2,6,7,
13000006,1,1,1,19,1,1,1, , , , , ,4,4, ,1,1,201610,1,5,3,6,7,1
13000006,1,3,2,19,1,1,21, , , , , ,2,2,2,1,3,      ,0,6,3,6,7,
13000006,1,4,2,19,1,1,22, , , , , ,2,2,2,1,3,      ,0,6,3,6,7,
13000006,2,2,2,32,1,1,1, , , , , ,4,4, ,1,1,200603,1,5,3,6,7,
13000006,2,5,2,29,2,1,22, , , , , ,3,3,2,1,3,      ,0,6,3,6,7,
13000007,1,1,1,42,2,1,3, , , , , ,3,3,2,7,3,      ,0,6,3,3,7,1
13000008,1,1,1,41,2,1,22, , , , , ,3,3,1,7,3,      ,0,6,3,6,7,1
13000009,1,1,1,33,2,1,1, , , , , ,3,3,2,1,1,200205,1,5,2,6,7,1
13000009,2,2,2,48,1,1,1, , , , , ,3,3,2,1,1,199005,1,5,2,6,7,
13000009,3,3,2,66,1,1,1, , , , , ,4,4, ,1,1,198005,1,5,2,6,7,
13000010,1,1,1,38,1,1,1, , , , , ,4,4, ,1,1,199805,1,5,2,6,7,1
13000010,2,2,2,40,1,1,1, , , , , ,3,3,2,2,1,199503,1,5,2,6,7,
13000011,1,1,1,55,2,1,1, , , , , ,4,4, ,1,1,197209,1,5,2,6,7,1
13000011,2,2,2,66,2,1,1, , , , , ,2,2,2,1,1,199311,1,5,2,6,7,
13000011,3,4,2,76,1,1,1, , , , , ,4,4, ,1,1,197209,1,5,2,6,7,
13000011,4,5,2,44,1,1,1, , , , , ,4,4, ,1,1,199411,1,5,2,6,7,
13000011,5,3,2,41,2,1,1, , , , , ,4,4, ,1,1,199702,1,5,2,6,7,
13000012,1,1,1,47,1,22,1, , , , , ,4,4, ,1,1,200807,1,5,3,6,7,1
13000012,1,3,2,54,1,1,21, , , , , ,3,3,2,1,3,      ,0,6,3,6,7,
13000012,2,2,2,58,1,2,1, , , , , ,4,4, ,1,1,197709,1,5,3,6,7,
13000013,1,1,1,61,1,1,1, , , , , ,4,4, ,1,1,197501,1,5,2,6,7,1
13000013,2,2,2,42,1,1,1, , , , , ,3,3,2,1,1,200006,1,5,2,6,7,
13000014,1,1,1,33,1,1,3, , , , , ,3,2,2,7,3,      ,0,6,3,4,7,1
13000015,1,1,1,28,1,1,1, , , , , ,4,4, ,1,1,200702,1,5,2,6,7,1
13000015,1,3,2,3,2,1,22, , , , , ,3,2,2,5,3,      ,0,6,3,6,7,
13000015,2,2,2,31,1,22,1, , , , , ,4,4, ,1,1,200811,1,5,2,6,7,
13000019,1,1,1,          , ,  ,1, , , , , ,4,4, ,1,2,      ,0,6,3,6,7,1
13000019,1,2,2,39,2,1,3, , , , , ,3,3,1,7,3,      ,0,6,3,2,7,
13000020,1,1,1,29,1,1,1, , , , , ,4,4, ,1,1,201507,1,5,2,6,7,1
13000020,2,2,2,33,1,1,1, , , , , ,2,2,2,7,3,      ,0,5,2,6,7,
13000023,1,1,1,50,2,1,1, , , , , ,3,3,2,1,1,198912,1,5,2,6,7,1
13000024,1,2,2,30,2,1,1, , , , , ,3,3,2,1,1,201505,1,5,3,6,7,
13000024,2,1,1,69,1,1,1, , , , , ,4,4, ,1,1,201710,1,5,3,6,7,1
13000025,1,1,1,69,1,1,1, , , , , ,4,4, ,1,1,197505,1,5,3,6,7,1
13000025,2,2,2,64,1,1,1, , , , , ,3,2,2,3,1,199204,1,5,3,6,7,
13000026,1,1,1,68,1,1,1, , , , , ,4,4, ,1,1,197901,1,5,3,6,7,1
13000026,1,2,2,25,2,1,3, , , , , ,3,3,2,7,3,      ,0,6,3,2,7,
13000028,1,1,1,41,1,1,1, , , , , ,3,3,2,4,3,      ,0,5,3,6,7,1
13000028,2,2,2,32,1,1,1, , , , , ,4,4, ,1,1,200302,1,5,3,6,7,
13000029,1,1,1,14,1,1,3, , , , , ,3,3,2,7,3,      ,0,6,3,3,7,1
13000030,1,1,1,41,2,1,1, , , , , ,4,4, ,1,1,200703,1,6,3,6,7,1
13000030,2,2,2,50,1,1,1, , , , , ,3,3,2,1,1,198804,1,5,3,6,7,
13000031,1,1,1,          , ,  ,1, , , , , ,4,4, ,1,3,      ,0,6,3,6,7,1
13000031,2,2,2,26,2,1,1, , , , , ,3,3,1,7,3,      ,0,5,3,6,7,
13000032,1,1,1,58,1,1,1, , , , , ,4,4, ,1,1,197810,1,5,3,6,7,1
13000032,1,2,2,43,1,1,3, , , , , ,3,3,2,7,3,      ,0,6,3,3,7,
13000034,1,1,1,44,2,1,1, , , , , ,4,4, ,1,1,199201,1,5,2,6,7,1
13000034,1,2,2,64,1,1,3, , , , , ,3,2,2,7,3,      ,0,6,3,2,7,
13000036,1,1,1,62,2,1,1, , , , , ,4,4, ,1,1,197807,1,5,2,6,7,1
13000036,1,2,2,74,2,1,3, , , , , ,3,3,2,7,3,      ,0,6,3,2,7,
13000037,1,1,1,58,1,1,1, , , , , ,4,4, ,1,1,197711,1,5,2,6,7,1
13000037,1,2,2,52,1,1,3, , , , , ,3,3,2,7,3,      ,0,6,3,2,7,
13000038,1,1,1,28,1,24,1, , , , , ,4,4, ,1,1,200802,1,5,2,6,7,1
13000038,1,2,2,58,2,1,3, , , , , ,3,3,2,7,3,      ,0,6,3,2,7,
13000039,1,1,1,60,1,1,3, , , , , ,3,2,2,7,3,      ,0,2,3,1,7,1
13000039,1,2,2,60,1,1,1, , , , , ,4,4, ,1,1,199307,1,5,3,6,7,
13000040,1,1,1,16,2,1,3, , , , , ,3,3,2,7,3,      ,0,6,3,2,7,1
13000040,1,2,2,31,2,1,1, , , , , ,3,3,2,1,1,201012,1,5,3,6,7,
13000041,1,1,1,19,1,1,3, , , , , ,3,3,2,7,3,      ,0,6,3,3,7,1
13000041,1,2,2,63,1,1,1, , , , , ,4,4, ,1,1,197404,1,5,2,6,7,
13000042,1,1,1,          , ,  ,1, , , , , ,4,4, , , ,      ,0, , ,6,7,1
13000042,4,2,2,43,1,1,1, , , , , ,3,3,2,3,3,      ,0,5,2,6,7,
13000043,1,1,1,22,1,1,1, , , , , ,3,3,2,1,1,201308,1,5,2,6,7,1
13000043,2,2,2,44,2,1,1, , , , , ,3,3,2,1,1,199010,1,5,2,6,7,
13000044,1,1,1,47,2,1,1, , , , , ,4,4, ,1,1,201605,1,5,2,6,7,1
13000044,1,2,2,62,2,1,3, , , , , ,3,3,2,7,3,      ,0,6,3,2,7,
13000045,1,1,1,29,1,1,1, , , , , ,3,3,1,1,1,200610,1,5,2,6,7,1
13000045,1,2,2,30,2,1,21, , , , , ,3,3,1,1,3,      ,0,6,3,6,7,
13000045,2,3,2,41,1,1,1, , , , , ,4,4, ,7,1,200311,1,5,2,6,7,
13000047,1,1,1,39,1,1,1, , , , , ,4,4, ,1,1,199512,1,5,2,6,7,1
13000047,1,2,2,69,1,1,3, , , , , ,2,1,2,7,3,      ,0,6,3,2,7,
13000048,1,1,1,32,2,1,1, , , , , ,4,4, ,1,1,200909,1,5,2,6,7,1
13000048,2,2,2,49,1,1,1, , , , , ,4,4, ,1,1,198708,1,5,2,6,7,
13000048,2,3,2,85,2,1,21, , , , , ,3,2,2,2,3,      ,0,6,3,6,7,
13000050,1,1,1,37,1,1,1, , , , , ,4,4, ,1,2,      ,0,5,2,6,7,1
13000050,2,2,2,47,2,1,1, , , , , ,3,3,1,1,1,199407,1,5,2,6,7,
13000066,1,1,1,61,2,1,3, , , , , ,2,2,2,7,3,      ,0,6,3,3,7,1
13000066,1,2,2,73,1,1,1, , , , , ,4,4, ,1,1,199505,1,5,3,6,7,
13000067,1,1,1,48,2,1,1, , , , , ,4,4, ,1,1,199505,1,5,3,6,7,1
13000067,2,2,2,22,1,1,1, , , , , ,4,4, ,1,1,201611,1,5,3,6,7,
13000067,2,3,2,41,2,1,3, , , , , ,2,2,2,7,3,      ,0,6,3,2,7,
13000068,1,2,2,57,2,1,22, , , , , ,3,3,2,7,3,      ,0,6,3,6,7,
13000068,2,1,1,23,1,1,1, , , , , ,4,4, ,1,1,201411,1,5,2,6,7,1
13000069,1,1,1,25,2,1,1, , , , , ,3,3,2,1,1,201205,1,5,2,6,7,1
13000072,1,1,1,47,1,1,1, , , , , ,4,4, ,1,1,198905,1,5,2,6,7,1
13000072,2,2,2,39,1,1,1, , , , , ,4,4, ,1,1,199809,1,5,2,6,7,
13000072,2,4,2,34,1,1,21, , , , , ,3,3,2,1,3,      ,0,6,3,6,7,
13000072,3,3,2,35,1,1,1, , , , , ,4,4, ,1,1,200006,1,5,2,6,7,
13000073,1,1,1,43,1,1,1, , , , , ,2,1,2,2,1,199208,1,5,2,6,7,1
13000074,1,1,1,45,1,1,1, , , , , ,4,4, ,7,1,200403,1,5,2,6,7,1
13000074,1,2,2,22,2,1,3, , , , , ,3,2,2,7,3,      ,0,6,3,2,7,
13000075,1,1,1,68,1,1,3, , , , , ,2,2,2,7,3,      ,0,6,3,3,7,1
13000076,1,1,1,60,2,1,3, , , , , ,3,3,2,7,3,      ,0,6,3,3,7,1
13000076,1,2,2,23,1,1,3, , , , , ,3,3,2,7,3,      ,0,6,3,3,7,
13000077,1,1,1,47,1,1,1, , , , , ,4,4, ,1,1,199603,1,5,2,6,7,1
13000077,2,2,2,44,1,1,1, , , , , ,4,4, ,1,1,200006,1,5,2,6,7,
13000077,2,3,2,36,2,1,21, , , , , ,3,3,2,1,3,      ,0,6,3,6,7,
13000077,2,4,2,3,1,1,22, , , , , ,3,3,2,5,3,      ,0,6,3,6,7,
13000077,2,5,2,1,1,1,22, , , , , ,3,3,2,5,3,      ,0,6,3,6,7,
13000078,1,2,2,48,1,1,1, , , , , ,4,4, ,1,1,199009,1,5,2,6,7,
13000078,2,1,1,14,1,1,1, , , , , ,3,3,2,7,3,      ,0,5,2,6,7,1
13000080,1,1,1,52,1,1,3, , , , , ,3,3,2,7,3,      ,0,6,3,3,7,1
13000080,1,2,2,25,1,1,1, , , , , ,4,4, ,3,2,      ,0,5,2,6,7,
13000081,1,1,1,50,1,1,1, , , , , ,4,4, ,1,1,198506,1,5,3,6,7,1
13000081,1,2,2,52,2,1,3, , , , , ,3,3,1,7,3,      ,0,6,3,5,7,
13000084,1,1,1,40,2,1,1, , , , , ,4,4, ,1,1,201008,1,5,3,6,7,1
13000084,2,2,2,57,2,1,1, , , , , ,3,3,1,1,1,198203,1,5,3,6,7,
13000084,3,3,2,51,1,1,1, , , , , ,4,4, ,1,1,198706,1,5,3,6,7,
13000086,1,1,1,66,1,1,1, , , , , ,4,4, ,1,1,197012,1,5,2,6,7,1
13000086,1,2,2,78,2,1,3, , , , , ,3,3,2,7,3,      ,0,6,3,2,7,
13000087,1,1,1,39,1,1,1, , , , , ,4,4, ,1,1,199901,1,5,3,6,7,1
13000087,2,2,2,30,1,1,1, , , , , ,4,4, ,7,1,200205,1,5,3,6,7,
13000087,2,3,2,67,2,1,22, , , , , ,3,2,2,7,3,      ,0,6,3,6,7,
13000087,2,4,2,34,2,1,22, , , , , ,3,3,2,7,3,      ,0,6,3,6,7,
13000088,1,1,1,31,1,1,1, , , , , ,4,4, ,1,1,200306,1,5,2,6,7,1
13000088,2,2,2,20,1,1,1, , , , , ,4,4, ,2,1,201505,1,5,2,6,7,
13000088,2,3,2,17,2,1,21, , , , , ,3,3,2,2,3,      ,0,6,3,6,7,
13000090,1,1,1,54,2,1,1, , , , , ,4,4, ,1,1,200710,1,5,2,6,7,1
13000090,2,2,2,33,1,1,1, , , , , ,3,3,2,1,1,200204,1,5,2,6,7,
13000091,1,1,1,47,1,1,1, , , , , ,4,4, ,1,1,198810,1,5,3,6,7,1
13000091,2,2,2,33,1,1,1, , , , , ,4,4, ,1,1,200206,1,5,3,6,7,
13000091,2,3,2,26,1,1,21, , , , , ,3,3,2,1,3,      ,0,6,3,6,7,
13000091,2,4,2,32,1,1,22, , , , , ,3,3,2,1,3,      ,0,6,3,6,7,
13000093,1,1,1,          , ,  ,1, , , , , ,4,4, ,1, ,      ,0,6,3,6,7,1
13000093,2,2,2,40,1,1,1, , , , , ,4,4, ,7,1,201606,1,5,2,6,7,
13000093,2,3,2,54,1,1,22, , , , , ,3,3,1,7,3,      ,0,6,3,6,7,
13000094,1,1,1,85,2,1,1, , , , , ,2,2,2,1,1,195001,1,5,2,6,7,1
13000095,1,1,1,60,2,1,1, , , , , ,4,4, ,1,1,198011,1,5,3,6,7,1
13000095,1,2,2,78,2,1,3, , , , , ,3,3,2,7,3,      ,0,6,3,2,7,
13000096,1,1,1,          , ,  ,1, , , , , ,4,4, ,1,2,      ,0,6,3,6,7,1
13000096,2,2,2,61,1,1,1, , , , , ,4,4, ,7,1,198705,1,5,3,6,7,
13000096,2,3,2,26,2,27,22, , , , , ,3,3,2,7,3,      ,0,6,3,6,7,
13000096,2,4,2,84,2,1,22, , , , , ,3,3,2,7,3,      ,0,6,3,6,7,
13000097,1,1,1,40,1,1,1, , , , , ,4,4, ,1,1,201212,1,5,2,6,7,1
13000097,1,2,2,27,2,1,21, , , , , ,3,3,1,1,3,      ,0,5,2,6,7,
13000098,1,1,1,25,1,1,1, , , , , ,4,4, ,1,1,201103,1,5,2,6,7,1
13000098,1,2,2,79,2,1,3, , , , , ,2,2,2,7,3,      ,0,6,3,2,7,
13000100,1,1,1,30,1,1,1, , , , , ,4,4, ,1,1,201405,1,5,3,6,7,1
13000100,1,2,2,48,1,1,3, , , , , ,3,3,2,7,3,      ,0,6,3,2,7,
13000101,1,1,1,57,2,1,3, , , , , ,3,3,2,7,3,      ,0,6,3,3,7,1
13000101,1,2,2,40,2,1,1, , , , , ,4,4, ,1,1,199706,1,5,3,6,7,
13000102,9,1,1,          , ,  ,1, , , , , ,4,4, ,2,2,      ,0,6,3,6,7,1
13000102,9,2,2,49,1,1,3, , , , , ,1,1,1,7,3,      ,0,6,3,1,7,
13000103,1,1,1,78,1,1,1, , , , , ,3,3,1,1,1,196912,1,5,3,6,7,1
13000105,1,1,1,23,1,1,1, , , , , ,4,4, ,1,1,201404,1,5,3,6,7,1
13000105,1,2,2,83,2,1,3, , , , , ,3,3,2,7,3,      ,0,6,3,3,7,
13000106,1,1,1,17,1,1,3, , , , , ,3,3,1,7,3,      ,0,6,3,2,7,1
13000106,1,2,2,33,1,1,1, , , , , ,4,4, ,7,1,200406,1,5,3,6,7,
13000109,3,1,1,40,1,1,1, , , , , ,3,3,2,2,1,199105,1,2,3,6,7,1
13000111,1,2,2,22,1,1,1, , , , , ,4,4, ,1,1,201302,1,5,2,6,7,
13000111,2,1,1,30,1,1,1, , , , , ,4,4, ,1,1,200603,1,5,2,6,7,1
13000111,2,3,2,32,2,1,21, , , , , ,3,3,2,1,3,      ,0,6,3,6,7,
13000112,1,1,1,          , ,  ,1, , , , , ,4,4, ,1, ,      ,0,5,2,6,7,1
13000112,2,2,2,25,1,1,1, , , , , ,4,4, ,7,1,201412,1,5,2,6,7,
13000112,2,3,2,82,2,1,22, , , , , ,2,2,2,7,3,      ,0,6,3,6,7,
13000112,2,4,2,76,2,1,22, , , , , ,4,4, ,7,3,      ,0,6,3,6,7,
13000113,1,2,2,73,1,1,1, , , , , ,4,4, ,1,1,197201,1,5,3,6,7,
13000113,2,1,1,43,1,1,1, , , , , ,2,2,2,7,1,199410,1,5,3,6,7,1
13000114,1,1,1,18,1,1,3, , , , , ,2,2,2,7,3,      ,0,6,3,3,7,1
13000115,1,2,2,51,1,1,1, , , , , ,4,4, ,1,1,198707,1,5,3,6,7,
13000115,1,3,2,53,1,1,22, , , , , ,3,3,2,7,3,      ,0,6,3,6,7,
13000115,2,1,1,25,1,1,1, , , , , ,4,4, ,1,1,200909,1,5,3,6,7,1
13000116,1,1,1,30,1,1,1, , , , , ,4,4, ,1,1,200410,1,5,2,6,7,1
13000116,1,2,2,48,2,1,3, , , , , ,3,3,2,7,3,      ,0,6,3,3,7,
13000120,1,1,1,63,1,1,1, , , , , ,4,4, ,1,1,197303,1,5,2,6,7,1
13000120,1,2,2,43,2,1,3, , , , , ,2,2,2,7,3,      ,0,6,3,3,7,
13000121,1,1,1,80,1,1,1, , , , , ,3,3,2,1,1,195704,1,5,3,6,7,1
13000122,1,1,1,40,2,1,1, , , , , ,4,4, ,1,1,199512,1,5,2,6,7,1
13000122,2,2,2,33,1,1,1, , , , , ,3,3,1,2,1,200501,1,5,2,6,7,
13000123,1,1,1,42,1,1,1, , , , , ,4,4, ,2,1,200705,1,5,2,6,7,1
13000123,2,2,2,67,1,1,1, , , , , ,3,3,2,2,1,198311,1,5,2,6,7,
